index,cut_type,end_time,start_time,tool_wear
0,A,17.147,4.536,0.0
1,CL,19.071,17.147,0.241228070175
2,A,31.813,19.071,0.482456140351
3,CO,33.672,31.813,0.723684210526
4,A,46.297,33.672,0.964912280702
5,CL,48.231,46.297,1.20614035088
6,A,60.958,48.231,1.44736842105
7,CO,62.827,60.958,1.68859649123
8,A,75.448,62.827,1.9298245614
9,CL,77.379,75.448,2.17105263158
10,A,90.131,77.379,2.41228070175
11,CO,91.975,90.131,2.65350877193
12,A,104.599,91.975,2.89473684211
13,CL,106.53,104.599,3.13596491228
14,A,119.274,106.53,3.37719298246
15,CO,121.126,119.274,3.61842105263
16,A,133.757,121.126,3.85964912281
17,CL,135.7,133.757,4.10087719298
18,A,148.449,135.7,4.34210526316
19,CO,150.287,148.449,4.58333333333
20,A,162.961,150.287,4.82456140351
21,CL,164.847,162.961,5.06578947368
22,A,177.601,164.847,5.30701754386
23,CO,179.456,177.601,5.54824561404
24,A,192.101,179.456,5.78947368421
25,CL,193.996,192.101,6.03070175439
26,A,206.758,193.996,6.27192982456
27,CO,208.608,206.758,6.51315789474
28,A,221.279,208.608,6.75438596491
29,CL,223.153,221.279,6.99561403509
30,A,235.905,223.153,7.23684210526
31,CO,237.764,235.905,7.47807017544
32,A,250.419,237.764,7.71929824561
33,CL,252.307,250.419,7.96052631579
34,A,265.075,252.307,8.20175438596
35,CO,266.912,265.075,8.44298245614
36,A,279.56,266.912,8.68421052632
37,CL,281.474,279.56,8.92543859649
38,A,294.245,281.474,9.16666666667
39,CO,298.305,294.245,9.40789473684
40,A,310.972,298.305,9.64912280702
41,CL,312.891,310.972,9.89035087719
42,A,325.657,312.891,10.1315789474
43,CO,325.658,325.657,10.3728070175
44,A,325.659,325.658,10.6140350877
45,CL,327.482,325.659,10.8552631579
46,A,340.122,327.482,11.1666666667
47,CO,342.042,340.122,11.5833333333
48,A,354.81,342.042,12.0
49,CL,356.644,354.81,12.4166666667
50,A,369.245,356.644,12.8333333333
51,CO,371.198,369.245,13.25
52,A,383.96,371.198,13.6666666667
53,CL,385.793,383.96,14.0833333333
54,A,398.441,385.793,14.5
55,CO,400.357,398.441,14.9166666667
56,A,413.125,400.357,15.3333333333
57,CL,414.94,413.125,15.75
58,A,427.566,414.94,16.1666666667
59,CO,429.51,427.566,16.5833333333
60,A,442.288,429.51,17.0
61,CL,444.088,442.288,17.4166666667
62,A,456.735,444.088,17.8333333333
63,CO,458.655,456.735,18.25
64,A,471.442,458.655,18.6666666667
65,CL,473.23,471.442,19.0833333333
66,A,485.704,473.23,19.5
67,CO,485.705,485.704,19.9166666667
68,A,485.71,485.705,20.3333333333
69,CL,485.719,485.71,20.75
70,A,485.749,485.719,21.1666666667
71,CO,485.754,485.749,21.5833333333
72,A,485.756,485.754,22.0
73,CL,485.758,485.756,22.4166666667
74,A,485.761,485.758,22.8333333333
75,CO,487.81,485.761,23.25
76,A,500.584,487.81,23.6666666667
77,CL,502.392,500.584,24.0833333333
78,A,514.917,502.392,24.5
79,CO,514.926,514.917,24.9166666667
80,A,514.942,514.926,25.3333333333
81,CL,514.944,514.942,25.75
82,A,514.963,514.944,26.1666666667
83,CO,514.964,514.963,26.5833333333
84,A,514.974,514.964,27.0
85,CL,516.975,514.974,27.4166666667
86,A,529.746,516.975,27.8333333333
87,CO,531.548,529.746,28.25
88,A,544.072,531.548,28.6666666667
89,CL,544.075,544.072,29.0833333333
90,A,544.076,544.075,29.5
91,CO,544.078,544.076,29.9166666667
92,A,544.162,544.078,30.5263157895
93,CL,546.115,544.162,31.1842105263
94,A,558.925,546.115,31.8421052632
95,CO,560.683,558.925,32.5
96,A,573.365,560.683,33.1578947368
97,CL,575.253,573.365,33.8157894737
98,A,588.091,575.253,34.4736842105
99,CO,591.891,588.091,35.1315789474
100,A,593.479,591.891,35.7894736842
101,CL,594.155,593.479,36.4473684211
102,A,605.665,594.155,37.1052631579
103,CO,607.432,605.665,37.7631578947
104,A,620.299,607.432,38.4210526316
105,CL,622.018,620.299,39.0789473684
106,A,634.699,622.018,39.7368421053
107,CO,636.632,634.699,40.3947368421
108,A,649.432,636.632,41.0526315789
109,CL,651.178,649.432,41.7105263158
110,A,663.9,651.178,42.3684210526
111,CO,665.76,663.9,43.0263157895
112,A,678.591,665.76,43.6842105263
113,CL,680.326,678.591,44.3421052632
114,A,693.024,680.326,45.0
115,CO,694.923,693.024,45.6578947368
116,A,707.724,694.923,46.3157894737
117,CL,709.477,707.724,46.9736842105
118,A,722.175,709.477,47.6315789474
119,CO,724.078,722.175,48.2894736842
120,A,736.884,724.078,48.9473684211
121,CL,738.651,736.884,49.6052631579
122,A,751.294,738.651,50.2631578947
123,CO,751.295,751.294,50.9210526316
124,A,751.296,751.295,51.5789473684
125,CL,753.221,751.296,52.2368421053
126,A,766.025,753.221,52.8947368421
127,CO,767.796,766.025,53.5526315789
128,A,780.468,767.796,54.2105263158
129,CL,782.369,780.468,54.8684210526
130,A,795.192,782.369,55.5263157895
131,CO,796.944,795.192,56.1842105263
132,A,809.61,796.944,56.8421052632
133,CL,811.54,809.61,57.5
134,A,824.334,811.54,58.1578947368
135,CO,826.094,824.334,58.8157894737
136,A,838.776,826.094,59.4736842105
137,CL,840.677,838.776,60.0438596491
138,A,853.495,840.677,60.2631578947
139,CO,855.259,853.495,60.4824561404
140,A,867.908,855.259,60.701754386
141,CL,869.825,867.908,60.9210526316
142,A,882.658,869.825,61.1403508772
143,CO,886.489,882.658,61.3596491228
144,A,886.747,886.489,61.5789473684
145,CL,886.815,886.747,61.798245614
146,A,888.059,886.815,62.0175438596
147,CO,889.599,888.059,62.2368421053
148,A,901.962,889.599,62.4561403509
149,CL,903.873,901.962,62.6754385965
150,A,916.67,903.873,62.8947368421
151,CO,918.437,916.67,63.1140350877
152,A,931.093,918.437,63.3333333333
153,CL,933.021,931.093,63.5526315789
154,A,945.819,933.021,63.7719298246
155,CO,947.589,945.819,63.9912280702
156,A,960.249,947.589,64.2105263158
157,CL,962.164,960.249,64.4298245614
158,A,974.974,962.164,64.649122807
159,CO,976.741,974.974,64.8684210526
160,A,989.419,976.741,65.0877192982
161,CL,991.315,989.419,65.3070175439
162,A,1004.124,991.315,65.5263157895
163,CO,1005.9,1004.124,65.7456140351
164,A,1018.575,1005.9,65.9649122807
165,CL,1020.459,1018.575,66.1842105263
166,A,1033.271,1020.459,66.4035087719
167,CO,1035.036,1033.271,66.6228070175
168,A,1047.719,1035.036,66.8421052632
169,CL,1049.637,1047.719,67.0614035088
170,A,1062.427,1049.637,67.2807017544
171,CO,1064.195,1062.427,67.5
172,A,1076.856,1064.195,67.7192982456
173,CL,1078.778,1076.856,67.9385964912
174,A,1091.575,1078.778,68.1578947368
175,CO,1093.35,1091.575,68.3771929825
176,A,1106.038,1093.35,68.5964912281
177,CL,1107.933,1106.038,68.8157894737
178,A,1120.726,1107.933,69.0350877193
179,CO,1122.511,1120.726,69.2543859649
180,A,1135.19,1122.511,69.4736842105
181,CL,1137.072,1135.19,69.6929824561
182,A,1149.865,1137.072,69.9122807018
183,CO,1151.658,1149.865,70.0657894737
184,A,1164.333,1151.658,70.1754385965
185,CL,1166.215,1164.333,70.2850877193
186,A,1179.044,1166.215,70.3947368421
187,CO,1182.967,1179.044,70.5043859649
188,A,1184.431,1182.967,70.6140350877
189,CL,1188.105,1184.431,70.7236842105
190,A,1200.802,1188.105,70.8333333333
191,CO,1202.681,1200.802,70.9429824561
192,A,1215.488,1202.681,71.0526315789
193,CL,1217.261,1215.488,71.1622807018
194,A,1229.93,1217.261,71.2719298246
195,CO,1231.836,1229.93,71.3815789474
196,A,1244.615,1231.836,71.4912280702
197,CL,1246.43,1244.615,71.600877193
198,A,1259.108,1246.43,71.7105263158
199,CO,1260.998,1259.108,71.8201754386
200,A,1273.772,1260.998,71.9298245614
201,CL,1275.561,1273.772,72.0394736842
202,A,1288.243,1275.561,72.149122807
203,CO,1290.147,1288.243,72.2587719298
204,A,1302.927,1290.147,72.3684210526
205,CL,1304.721,1302.927,72.4780701754
206,A,1317.407,1304.721,72.5877192982
207,CO,1319.298,1317.407,72.6973684211
208,A,1332.088,1319.298,72.8070175439
209,CL,1333.865,1332.088,72.9166666667
210,A,1346.544,1333.865,73.0263157895
211,CO,1348.449,1346.544,73.1359649123
212,A,1361.246,1348.449,73.2456140351
213,CL,1362.986,1361.246,73.3552631579
214,A,1375.779,1362.986,73.4649122807
215,CO,1377.566,1375.779,73.5745614035
216,A,1390.431,1377.566,73.6842105263
217,CL,1392.115,1390.431,73.7938596491
218,A,1404.936,1392.115,73.9035087719
219,CO,1406.711,1404.936,74.0131578947
220,A,1419.558,1406.711,74.1228070175
221,CL,1421.283,1419.558,74.2324561404
222,A,1434.082,1421.283,74.3421052632
223,CO,1435.869,1434.082,74.451754386
224,A,1448.718,1435.869,74.5614035088
225,CL,1450.423,1448.718,74.6710526316
226,A,1463.241,1450.423,74.7807017544
227,CO,1465.02,1463.241,74.8903508772
228,A,1477.881,1465.02,75.0
