index,cut_type,end_time,start_time,tool_wear
0,A,21.423,11.453,0.0
1,CL,34.115,21.423,0.25
2,A,36.295,34.115,0.5
3,CO,49.076,36.295,0.75
4,A,51.154,49.076,1.0
5,CL,63.876,51.154,1.25
6,A,66.03,63.876,1.5
7,CO,78.821,66.03,1.75
8,A,80.882,78.821,2.0
9,CL,93.599,80.882,2.25
10,A,95.767,93.599,2.5
11,CO,108.567,95.767,2.75
12,A,110.636,108.567,3.0
13,CL,123.364,110.636,3.25
14,A,125.509,123.364,3.5
15,CO,138.318,125.509,3.75
16,A,140.362,138.318,4.0
17,CL,153.088,140.362,4.25
18,A,155.268,153.088,4.5
19,CO,168.057,155.268,4.75
20,A,170.124,168.057,5.0
21,CL,182.834,170.124,5.25
22,A,185.006,182.834,5.5
23,CO,197.795,185.006,5.75
24,A,199.864,197.795,6.0
25,CL,212.579,199.864,6.25
26,A,214.743,212.579,6.5
27,CO,227.534,214.743,6.75
28,A,229.587,227.534,7.0
29,CL,242.333,229.587,7.25
30,A,244.487,242.333,7.5
31,CO,257.286,244.487,7.75
32,A,259.371,257.286,8.0
33,CL,272.072,259.371,8.25
34,A,274.264,272.072,8.5
35,CO,287.009,274.264,8.75
36,A,289.083,287.009,9.0
37,CL,301.831,289.083,9.25
38,A,303.986,301.831,9.5
39,CO,316.71,303.986,9.75
40,A,337.76,316.71,10.0
41,CL,350.493,337.76,10.75
42,A,352.632,350.493,11.5
43,CO,365.444,352.632,12.25
44,A,367.501,365.444,13.0
45,CL,380.211,367.501,13.75
46,A,382.381,380.211,14.5
47,CO,395.179,382.381,15.25
48,A,397.224,395.179,16.0
49,CL,409.943,397.224,16.75
50,A,412.128,409.943,17.5
51,CO,424.919,412.128,18.25
52,A,426.983,424.919,19.0
53,CL,439.667,426.983,19.75
54,A,441.872,439.667,20.5
55,CO,454.672,441.872,21.25
56,A,456.736,454.672,22.0
57,CL,469.45,456.736,22.75
58,A,471.606,469.45,23.5
59,CO,484.411,471.606,24.25
60,A,486.466,484.411,25.0
61,CL,499.141,486.466,25.75
62,A,501.364,499.141,26.5
63,CO,514.166,501.364,27.25
64,A,516.219,514.166,28.0
65,CL,528.901,516.219,28.75
66,A,531.104,528.901,29.5
67,CO,543.896,531.104,30.25
68,A,545.961,543.896,31.0
69,CL,558.631,545.961,31.75
70,A,560.863,558.631,32.5
71,CO,573.65,560.863,33.25
72,A,575.692,573.65,34.0
73,CL,588.419,575.692,34.75
74,A,590.601,588.419,35.5
75,CO,603.384,590.601,36.25
