index,cut_type,end_time,start_time,tool_wear
0,A,1.744,0.0,0.0
1,CL,14.726,1.744,0.759493670886
2,A,16.24,14.726,1.51898734177
3,CO,29.316,16.24,2.27848101266
4,A,30.749,29.316,3.03797468354
5,CL,43.852,30.749,3.79746835443
6,A,45.389,43.852,4.55696202532
7,CO,58.44,45.389,5.3164556962
8,A,59.811,58.44,6.07594936709
9,CL,72.85,59.811,6.83544303797
10,A,74.368,72.85,7.59493670886
11,CO,87.389,74.368,8.35443037975
12,A,88.755,87.389,9.11392405063
13,CL,101.811,88.755,9.87341772152
14,A,103.26,101.811,10.6329113924
15,CO,116.187,103.26,11.3924050633
16,A,117.572,116.187,12.1518987342
17,CL,130.59,117.572,12.9113924051
18,A,132.054,130.59,13.6708860759
19,CO,144.887,132.054,14.4303797468
20,A,146.24,144.887,15.1898734177
21,CL,159.28,146.24,15.9493670886
22,A,160.731,159.28,16.7088607595
23,CO,173.724,160.731,17.4683544304
24,A,175.086,173.724,18.2278481013
25,CL,187.431,175.086,18.9873417722
26,A,188.822,187.431,19.746835443
27,CO,200.839,188.822,20.5063291139
28,A,202.16,200.839,21.2658227848
29,CL,214.793,202.16,22.0253164557
30,A,216.115,214.793,22.7848101266
31,CO,229.066,216.115,23.5443037975
32,A,230.414,229.066,24.3037974684
33,CL,243.339,230.414,25.0632911392
34,A,244.736,243.339,25.8227848101
35,CO,257.652,244.736,26.582278481
36,A,259.009,257.652,27.3417721519
37,CL,271.904,259.009,28.1012658228
38,A,273.312,271.904,28.8607594937
39,CO,285.875,273.312,29.6202531646
40,A,290.667,285.875,30.7594936709
41,CL,303.415,290.667,32.2784810127
42,A,304.825,303.415,33.7974683544
43,CO,317.687,304.825,35.3164556962
44,A,318.885,317.687,36.835443038
45,CL,331.651,318.885,38.3544303797
46,A,333.002,331.651,39.8734177215
47,CO,345.936,333.002,41.3924050633
48,A,347.186,345.936,42.9113924051
49,CL,360.127,347.186,44.4303797468
50,A,361.442,360.127,45.9493670886
51,CO,373.604,361.442,47.4683544304
52,A,374.74,373.604,48.9873417722
53,CL,387.156,374.74,50.5063291139
54,A,388.442,387.156,52.0253164557
55,CO,400.912,388.442,53.5443037975
56,A,402.087,400.912,55.0632911392
57,CL,414.738,402.087,56.582278481
58,A,416.034,414.738,58.1012658228
59,CO,428.683,416.034,59.6202531646
60,A,429.854,428.683,61.1392405063
61,CL,442.666,429.854,62.6582278481
62,A,443.938,442.666,64.1772151899
63,CO,456.627,443.938,65.6962025316
64,A,457.784,456.627,67.2151898734
65,CL,470.343,457.784,68.7341772152
66,A,471.503,470.343,70.253164557
67,CO,484.052,471.503,71.7721518987
68,A,485.267,484.052,73.2911392405
69,CL,496.783,485.267,74.8101265823
70,A,498.093,496.783,76.3291139241
71,CO,510.394,498.093,77.8481012658
72,A,511.492,510.394,79.3670886076
73,CL,523.897,511.492,80.8860759494
74,A,525.145,523.897,82.4050632911
75,CO,537.083,525.145,83.9240506329
76,A,538.221,537.083,85.4430379747
77,CL,550.603,538.221,86.9620253165
78,A,551.782,550.603,88.4810126582
79,CO,563.819,551.782,90.0
