index,cut_type,end_time,start_time,tool_wear
0,A,11.302,2.309,0.0
1,CL,12.227,11.302,1.05263157895
2,A,20.731,12.227,2.10526315789
3,CO,21.541,20.731,3.15789473684
4,A,30.517,21.541,4.21052631579
5,CL,31.436,30.517,5.26315789474
6,A,40.446,31.436,6.31578947368
7,CO,41.291,40.446,7.36842105263
8,A,50.268,41.291,8.42105263158
9,CL,51.225,50.268,9.47368421053
10,A,60.263,51.225,10.5263157895
11,CO,61.09,60.263,11.5789473684
12,A,70.056,61.09,12.6315789474
13,CL,70.994,70.056,13.6842105263
14,A,80.049,70.994,14.7368421053
15,CO,80.86,80.049,15.7894736842
16,A,89.837,80.86,16.8421052632
17,CL,90.804,89.837,17.8947368421
18,A,99.792,90.804,18.9473684211
19,CO,100.621,99.792,20.0
20,A,109.638,100.621,21.0526315789
21,CL,110.549,109.638,22.1052631579
22,A,119.487,110.549,23.1578947368
23,CO,120.32,119.487,24.2105263158
24,A,129.292,120.32,25.2631578947
25,CL,130.176,129.292,26.3157894737
26,A,139.216,130.176,27.3684210526
27,CO,139.981,139.216,28.4210526316
28,A,148.891,139.981,29.4736842105
29,CL,149.809,148.891,30.5263157895
30,A,158.326,149.809,31.5789473684
31,CO,159.114,158.326,32.6315789474
32,A,168.032,159.114,33.6842105263
33,CL,168.856,168.032,34.7368421053
34,A,177.851,168.856,35.7894736842
35,CO,178.489,177.851,36.8421052632
36,A,186.836,178.489,37.8947368421
37,CL,187.704,186.836,38.9473684211
38,A,195.739,187.704,40.0
