index,cut_type,end_time,start_time,tool_wear
0,A,13.925,3.973,90.0
1,CL,26.684,13.925,90.25
2,A,28.807,26.684,90.5
3,CO,41.661,28.807,90.75
4,A,43.647,41.661,91.0
5,CL,56.462,43.647,91.25
6,A,58.541,56.462,91.5
7,CO,71.423,58.541,91.75
8,A,73.372,71.423,92.0
9,CL,86.219,73.372,92.25
10,A,88.292,86.219,92.5
11,CO,101.176,88.292,92.75
12,A,103.104,101.176,93.0
13,CL,115.935,103.104,93.25
14,A,118.03,115.935,93.5
15,CO,130.936,118.03,93.75
16,A,132.861,130.936,94.0
17,CL,145.697,132.861,94.25
18,A,147.774,145.697,94.5
19,CO,160.693,147.774,94.75
20,A,162.589,160.693,95.0
21,CL,175.445,162.589,95.25
22,A,177.528,175.445,95.5
23,CO,190.431,177.528,95.75
24,A,192.351,190.431,96.0
25,CL,205.214,192.351,96.25
26,A,207.251,205.214,96.5
27,CO,220.191,207.251,96.75
28,A,222.084,220.191,97.0
29,CL,234.917,222.084,97.25
30,A,237.003,234.917,97.5
31,CO,249.929,237.003,97.75
32,A,251.819,249.929,98.0
33,CL,264.717,251.819,98.25
34,A,266.751,264.717,98.5
35,CO,279.674,266.751,98.75
36,A,281.582,279.674,99.0
37,CL,294.45,281.582,99.25
38,A,296.474,294.45,99.5
39,CO,309.205,296.474,99.75
40,A,313.784,309.205,100.0
