index,cut_type,end_time,start_time,tool_wear
0,CL,16.338,3.89,0
1,A,18.345,16.338,0.248962656
2,CO,30.924,18.345,0.497925311
3,A,32.592,30.924,0.746887967
4,CL,44.689,32.592,0.995850622
5,A,46.353,44.689,1.244813278
6,CO,58.239,46.353,1.493775934
7,A,59.217,58.239,1.742738589
8,CL,69.359,59.217,1.991701245
9,A,70.767,69.359,2.2406639
10,CO,83.281,70.767,2.489626556
11,A,84.976,83.281,2.738589212
12,CL,96.744,84.976,2.987551867
13,A,98.506,96.744,3.236514523
14,CO,109.937,98.506,3.485477178
15,A,111.64,109.937,3.734439834
16,CL,124.113,111.64,3.98340249
17,A,125.876,124.113,4.232365145
18,CO,137.731,125.876,5.975103734
19,A,137.734,137.731,6.22406639
20,CL,137.738,137.734,6.473029046
21,A,138.265,137.738,6.721991701
22,CO,138.377,138.265,6.970954357
23,A,139.358,138.377,7.219917012
24,CL,151.416,139.358,7.468879668
25,A,153.176,151.416,7.717842324
26,CO,165.35,153.176,7.966804979
27,A,166.989,165.35,8.215767635
28,CL,179.37,166.989,9.958506224
29,A,180.811,179.37,10.20746888
30,CO,192.775,180.811,10.95435685
31,A,194.001,192.775,11.2033195
32,CL,206.118,194.001,14.43983402
33,A,206.492,206.118,14.68879668
34,CO,206.495,206.492,14.93775934
35,A,206.501,206.495,15.18672199
36,CL,206.717,206.501,15.43568465
37,A,207.592,206.717,15.6846473
38,CO,207.62,207.592,15.93360996
39,A,207.622,207.62,16.18257261
40,CL,207.632,207.622,16.43153527
41,A,207.639,207.632,16.68049793
42,CO,207.84,207.639,16.92946058
43,A,207.851,207.84,17.17842324
44,CL,207.853,207.851,17.42738589
45,A,207.854,207.853,17.67634855
46,CO,220.698,207.854,17.9253112
47,A,221.235,220.698,18.17427386
48,CL,232.942,221.235,18.92116183
49,A,233.148,232.942,19.17012448
50,CO,233.638,233.148,19.41908714
51,A,233.773,233.638,19.66804979
52,CL,233.845,233.773,19.91701245
53,A,234.073,233.845,20.24896266
54,CO,234.214,234.073,20.62240664
55,A,234.219,234.214,20.99585062
56,CL,234.228,234.219,21.36929461
57,A,234.233,234.228,21.74273859
58,CO,234.234,234.233,22.11618257
59,A,234.275,234.234,22.48962656
60,CL,234.523,234.275,22.86307054
61,A,234.552,234.523,23.23651452
62,CO,246.923,234.552,23.60995851
63,A,247.882,246.923,23.98340249
64,CL,259.374,247.882,25.10373444
65,A,260.697,259.374,25.47717842
66,CO,272.519,260.697,25.85062241
67,A,277.446,272.519,26.22406639
68,CL,289.634,277.446,29.58506224
69,A,291.422,289.634,29.95850622
70,CO,303.699,291.422,30.33195021
71,A,305.61,303.699,30.70539419
72,CL,317.852,305.61,33.31950207
73,A,319.407,317.852,33.69294606
74,CO,332.167,319.407,34.06639004
75,A,332.173,332.167,34.43983402
76,CL,332.18,332.173,34.81327801
77,A,332.19,332.18,35.18672199
78,CO,332.222,332.19,35.56016598
79,A,332.973,332.222,35.93360996
80,CL,345.28,332.973,36.30705394
81,A,347.054,345.28,36.68049793
82,CO,359.786,347.054,37.05394191
83,A,360.347,359.786,37.42738589
84,CL,372.439,360.347,40.04149378
85,A,374.188,372.439,40.41493776
86,CO,386.206,374.188,41.53526971
87,A,386.972,386.206,41.90871369
88,CL,399.941,386.972,43.02904564
89,A,400.725,399.941,43.40248963
90,CO,412.576,400.725,43.77593361
91,A,413.595,412.576,44.14937759
92,CL,424.915,413.595,45.26970954
93,A,426.417,424.915,45.64315353
94,CO,436.351,426.417,49.75103734
95,A,437.797,436.351,50.06224066
96,CL,447.925,437.797,50.24896266
97,A,449.365,447.925,50.43568465
,,461.365,449.365,50.63568465
,,462.965,461.365,50.83568465
122,CO,473.099,462.965,51.36929461
123,A,473.1,473.099,51.5560166
124,CL,473.107,473.1,51.74273859
125,A,473.368,473.107,51.92946058
126,CO,473.763,473.368,52.11618257
127,A,474.654,473.763,52.30290456
128,CL,487.585,474.654,52.48962656
129,A,488.018,487.585,52.67634855
130,CO,488.236,488.018,52.86307054
131,A,488.269,488.236,53.04979253
132,CL,488.324,488.269,53.23651452
133,A,489.32,488.324,53.42323651
134,CO,500.843,489.32,53.60995851
135,A,502.378,500.843,53.7966805
136,CL,513.972,502.378,53.98340249
137,A,515.563,513.972,54.17012448
138,CO,528.018,515.563,54.35684647
139,A,529.244,528.018,54.54356846
140,CL,540.145,529.244,55.10373444
141,A,547.581,540.145,55.29045643
142,CO,560.488,547.581,61.82572614
143,A,562.434,560.488,62.01244813
144,CL,575.333,562.434,62.19917012
145,A,577.249,575.333,62.38589212
146,CO,589.978,577.249,62.57261411
147,A,591.956,589.978,62.7593361
148,CL,604.878,591.956,62.94605809
149,A,606.789,604.878,63.13278008
150,CO,619.617,606.789,63.31950207
151,A,621.525,619.617,63.50622407
152,CL,634.413,621.525,63.69294606
153,A,636.26,634.413,63.87966805
154,CO,649.028,636.26,64.06639004
155,A,650.929,649.028,64.25311203
156,CL,663.671,650.929,64.43983402
157,A,665.485,663.671,64.62655602
158,CO,678.318,665.485,64.81327801
159,A,680.221,678.318,65
