index,cut_type,end_time,start_time,tool_wear
0,A,13.94,5.339,0.0
1,CL,15.233,13.94,0.1
2,A,23.926,15.233,0.2
3,CO,25.148,23.926,0.3
4,A,33.721,25.148,0.4
5,CL,35.032,33.721,0.5
6,A,43.125,35.032,0.6
7,CO,44.32,43.125,0.7
8,A,52.924,44.32,0.8
9,CL,54.211,52.924,0.9
10,A,62.934,54.211,1.0
11,CO,64.134,62.934,1.1
12,A,72.714,64.134,1.2
13,CL,74.016,72.714,1.3
14,A,82.756,74.016,1.4
15,CO,83.946,82.756,1.5
16,A,92.525,83.946,1.6
17,CL,93.836,92.525,1.7
18,A,102.562,93.836,1.8
19,CO,102.563,102.562,1.9
20,A,102.564,102.563,2.0
21,CL,103.743,102.564,2.1
22,A,112.35,103.743,2.2
23,CO,112.711,112.35,2.3
24,A,112.839,112.711,2.4
25,CL,113.65,112.839,2.5
26,A,122.37,113.65,2.6
27,CO,123.554,122.37,2.7
28,A,132.215,123.554,2.8
29,CL,133.461,132.215,2.9
30,A,142.172,133.461,3.0
31,CO,143.394,142.172,3.1
32,A,151.993,143.394,3.2
33,CL,153.271,151.993,3.3
34,A,162.006,153.271,3.4
35,CO,163.071,162.006,3.5
36,A,171.662,163.071,3.6
37,CL,172.039,171.662,3.7
38,A,172.041,172.039,3.8
39,CO,172.923,172.041,3.9
40,A,181.668,172.923,4.0
41,CL,182.815,181.668,4.1
42,A,191.472,182.815,4.2
43,CO,192.742,191.472,4.3
44,A,201.412,192.742,4.4
45,CL,205.322,201.412,4.5
46,A,213.767,205.322,4.6
47,CO,215.078,213.767,4.7
48,A,223.732,215.078,4.8
49,CL,224.959,223.732,4.9
50,A,233.5,224.959,5.0
51,CO,234.828,233.5,5.1
52,A,243.526,234.828,5.2
53,CL,243.527,243.526,5.3
54,A,243.529,243.527,5.4
55,CO,244.767,243.529,5.5
56,A,253.313,244.767,5.6
57,CL,254.656,253.313,5.7
58,A,263.337,254.656,5.8
59,CO,264.557,263.337,5.9
60,A,273.124,264.557,6.0
61,CL,274.471,273.124,6.1
62,A,283.142,274.471,6.2
63,CO,284.381,283.142,6.3
64,A,292.981,284.381,6.4
65,CL,294.285,292.981,6.5
66,A,302.966,294.285,6.6
67,CO,304.194,302.966,6.7
68,A,312.803,304.194,6.8
69,CL,314.095,312.803,6.9
70,A,322.747,314.095,7.0
71,CO,323.988,322.747,7.1
72,A,332.606,323.988,7.2
73,CL,333.913,332.606,7.3
74,A,342.593,333.913,7.4
75,CO,342.596,342.593,7.5
76,A,342.6,342.596,7.6
77,CL,343.807,342.6,7.7
78,A,352.41,343.807,7.8
79,CO,353.719,352.41,7.9
80,A,362.423,353.719,8.0
81,CL,363.593,362.423,8.1
82,A,372.222,363.593,8.2
83,CO,373.517,372.222,8.3
84,A,382.231,373.517,8.4
85,CL,383.425,382.231,8.5
86,A,391.362,383.425,8.6
87,CO,392.656,391.362,8.7
88,A,401.262,392.656,8.8
89,CL,401.263,401.262,8.9
90,A,401.264,401.263,9.0
91,CO,411.195,401.264,9.1
92,A,419.702,411.195,9.2
93,CL,421.005,419.702,9.3
94,A,429.701,421.005,9.4
95,CO,430.894,429.701,9.5
96,A,439.542,430.894,9.6
97,CL,439.543,439.542,9.7
98,A,439.544,439.543,9.8
99,CO,440.814,439.544,9.9
