index,cut_type,end_time,start_time,tool_wear
0,A,57.194,4.625,0.0
1,CO,73.807,57.194,0.128205128205
2,A,76.642,73.807,0.25641025641
3,CL,93.203,76.642,0.384615384615
4,A,96.03,93.203,0.512820512821
5,CO,112.548,96.03,0.641025641026
6,A,115.383,112.548,0.769230769231
7,CL,131.894,115.383,0.897435897436
8,A,134.628,131.894,1.02564102564
9,CO,150.464,134.628,1.15384615385
10,A,153.273,150.464,1.28205128205
11,CL,169.639,153.273,1.41025641026
12,A,172.344,169.639,1.53846153846
13,CO,188.845,172.344,1.66666666667
14,A,191.575,188.845,1.79487179487
15,CL,208.061,191.575,1.92307692308
16,A,210.727,208.061,2.05128205128
17,CO,227.295,210.727,2.17948717949
18,A,230.072,227.295,2.30769230769
19,CL,246.496,230.072,2.4358974359
20,A,249.124,246.496,2.5641025641
21,CO,265.566,249.124,2.69230769231
22,A,268.234,265.566,2.82051282051
23,CL,284.584,268.234,2.94871794872
24,A,287.265,284.584,3.07692307692
25,CO,303.502,287.265,3.20512820513
26,A,306.151,303.502,3.33333333333
27,CL,322.511,306.151,3.46153846154
28,A,325.162,322.511,3.58974358974
29,CO,341.547,325.162,3.71794871795
30,A,344.242,341.547,3.84615384615
31,CL,360.234,344.242,3.97435897436
32,A,362.886,360.234,4.10256410256
33,CO,379.136,362.886,4.23076923077
34,A,381.78,379.136,4.35897435897
35,CL,398.05,381.78,4.48717948718
36,A,432.89,398.05,4.61538461538
37,CO,449.055,432.89,4.74358974359
38,A,451.711,449.055,4.87179487179
39,CL,467.851,451.711,5.0
40,A,470.41,467.851,5.12820512821
41,CO,486.489,470.41,5.25641025641
42,A,489.02,486.489,5.38461538462
43,CL,505.206,489.02,5.51282051282
44,A,507.782,505.206,5.64102564103
45,CO,523.77,507.782,5.76923076923
46,A,526.422,523.77,5.89743589744
47,CL,542.566,526.422,6.02564102564
48,A,545.085,542.566,6.15384615385
49,CO,561.182,545.085,6.28205128205
50,A,563.755,561.182,6.41025641026
51,CL,579.87,563.755,6.53846153846
52,A,582.304,579.87,6.66666666667
53,CO,598.295,582.304,6.79487179487
54,A,600.828,598.295,6.92307692308
55,CL,616.848,600.828,7.05128205128
56,A,619.286,616.848,7.17948717949
57,CO,635.251,619.286,7.30769230769
58,A,637.802,635.251,7.4358974359
59,CL,653.64,637.802,7.5641025641
60,A,656.103,653.64,7.69230769231
61,CO,671.996,656.103,7.82051282051
62,A,674.55,671.996,7.94871794872
63,CL,690.41,674.55,8.07692307692
64,A,692.655,690.41,8.20512820513
65,CO,708.471,692.655,8.33333333333
66,A,710.995,708.471,8.46153846154
67,CL,726.81,710.995,8.58974358974
68,A,729.264,726.81,8.71794871795
69,CO,745.05,729.264,8.84615384615
70,A,747.485,745.05,8.97435897436
71,CL,763.27,747.485,9.10256410256
72,A,765.698,763.27,9.23076923077
73,CO,781.5,765.698,9.35897435897
74,A,783.979,781.5,9.48717948718
75,CL,799.554,783.979,9.61538461538
76,A,814.065,799.554,9.74358974359
77,CO,829.574,814.065,9.87179487179
78,A,832.104,829.574,10.0
79,CL,847.671,832.104,10.2564102564
80,A,849.98,847.671,10.5128205128
81,CO,865.588,849.98,10.7692307692
82,A,868.095,865.588,11.0256410256
83,CL,883.852,868.095,11.2820512821
84,A,886.255,883.852,11.5384615385
85,CO,901.8,886.255,11.7948717949
86,A,904.32,901.8,12.0512820513
87,CL,919.972,904.32,12.3076923077
88,A,922.292,919.972,12.5641025641
89,CO,937.65,922.292,12.8205128205
90,A,940.082,937.65,13.0769230769
91,CL,955.628,940.082,13.3333333333
92,A,958.013,955.628,13.5897435897
93,CO,973.536,958.013,13.8461538462
94,A,975.917,973.536,14.1025641026
95,CL,991.264,975.917,14.358974359
96,A,993.543,991.264,14.6153846154
97,CO,1009.065,993.543,14.8717948718
98,A,1011.483,1009.065,15.1282051282
99,CL,1027.018,1011.483,15.3846153846
100,A,1029.345,1027.018,15.641025641
101,CO,1044.762,1029.345,15.8974358974
102,A,1047.17,1044.762,16.1538461538
103,CL,1062.375,1047.17,16.4102564103
104,A,1064.64,1062.375,16.6666666667
105,CO,1079.979,1064.64,16.9230769231
106,A,1082.355,1079.979,17.1794871795
107,CL,1097.465,1082.355,17.4358974359
108,A,1099.646,1097.465,17.6923076923
109,CO,1114.952,1099.646,17.9487179487
110,A,1117.289,1114.952,18.2051282051
111,CL,1132.443,1117.289,18.4615384615
112,A,1134.696,1132.443,18.7179487179
113,CO,1149.824,1134.696,18.9743589744
114,A,1152.137,1149.824,19.2307692308
115,CL,1167.224,1152.137,19.4871794872
116,A,1189.451,1167.224,19.7435897436
117,CO,1204.622,1189.451,20.0
118,A,1206.906,1204.622,22.0512820513
119,CL,1221.928,1206.906,24.1025641026
120,A,1224.293,1221.928,26.1538461538
121,CO,1239.37,1224.293,28.2051282051
122,A,1241.707,1239.37,30.2564102564
123,CL,1256.622,1241.707,32.3076923077
124,A,1258.882,1256.622,34.358974359
125,CO,1273.666,1258.882,36.4102564103
126,A,1275.981,1273.666,38.4615384615
127,CL,1290.718,1275.981,40.5128205128
128,A,1292.968,1290.718,42.5641025641
129,CO,1307.907,1292.968,44.6153846154
130,A,1310.116,1307.907,46.6666666667
131,CL,1325.178,1310.116,48.7179487179
132,A,1327.456,1325.178,50.7692307692
133,CO,1342.477,1327.456,52.8205128205
134,A,1344.693,1342.477,54.8717948718
135,CL,1359.713,1344.693,56.9230769231
136,A,1361.897,1359.713,58.9743589744
137,CO,1376.751,1361.897,61.0256410256
138,A,1379.051,1376.751,63.0769230769
139,CL,1393.839,1379.051,65.1282051282
140,A,1396.036,1393.839,67.1794871795
141,CO,1411.099,1396.036,69.2307692308
142,A,1413.419,1411.099,71.2820512821
143,CL,1428.264,1413.419,73.3333333333
144,A,1430.45,1428.264,75.3846153846
145,CO,1445.257,1430.45,77.4358974359
146,A,1447.547,1445.257,79.4871794872
147,CL,1462.467,1447.547,81.5384615385
148,A,1464.591,1462.467,83.5897435897
149,CO,1479.452,1464.591,85.641025641
150,A,1481.691,1479.452,87.6923076923
151,CL,1496.59,1481.691,89.7435897436
152,A,1498.776,1496.59,91.7948717949
153,CO,1513.564,1498.776,93.8461538462
154,A,1515.745,1513.564,95.8974358974
155,CL,1530.318,1515.745,97.9487179487
156,A,1534.745,1530.318,100.0
