index,cut_type,end_time,start_time,tool_wear
0,CL,16.634,4.16,0
1,A,18.714,16.634,0.357142857
2,CO,31.469,18.714,1.428571429
3,A,33.262,31.469,1.785714286
4,CL,45.791,33.262,2.142857143
5,A,47.87,45.791,2.5
6,CO,60.614,47.87,4.285714286
7,A,62.396,60.614,4.642857143
8,CL,74.932,62.396,5
9,A,76.997,74.932,6.071428571
10,CO,89.769,76.997,6.428571429
11,A,91.571,89.769,6.785714286
12,CL,104.055,91.571,7.142857143
13,A,104.056,104.055,7.5
14,CO,104.057,104.056,7.857142857
15,A,104.078,104.057,8.214285714
16,CL,104.081,104.078,8.571428571
17,A,106.184,104.081,8.928571429
18,CO,118.905,106.184,9.285714286
19,A,120.71,118.905,9.642857143
20,CL,133.233,120.71,10
21,A,135.315,133.233,10.35714286
22,CO,148.074,135.315,10.71428571
23,A,149.848,148.074,11.07142857
24,CL,162.513,149.848,11.42857143
25,A,164.445,162.513,11.78571429
26,CO,177.216,164.445,12.14285714
27,A,179,177.216,12.5
28,CL,191.681,179,12.85714286
29,A,193.6,191.681,13.44505495
30,CO,206.381,193.6,14.18681319
31,A,208.129,206.381,14.92857143
32,CL,220.837,208.129,15.67032967
33,A,222.771,220.837,16.41208791
34,CO,235.558,222.771,17.15384615
35,A,237.271,235.558,17.8956044
36,CL,249.986,237.271,18.63736264
37,A,251.9,249.986,19.37912088
38,CO,264.685,251.9,20.12087912
39,A,266.455,264.685,20.86263736
40,CL,279.151,266.455,21.6043956
41,A,281.045,279.151,22.34615385
42,CO,293.872,281.045,23.08791209
43,A,299.913,293.872,23.82967033
44,CL,312.551,299.913,24.57142857
45,A,314.482,312.551,25.31318681
46,CO,327.253,314.482,26.05494505
47,A,329,327.253,26.7967033
48,CL,341.681,329,27.53846154
49,A,343.631,341.681,28.28021978
50,CO,356.395,343.631,29.02197802
51,A,358.198,356.395,29.76373626
52,CL,370.806,358.198,30.50549451
53,A,372.775,370.806,32.73076923
54,CO,385.544,372.775,33.47252747
55,A,387.329,385.544,34.21428571
56,CL,399.984,387.329,34.95604396
57,A,401.932,399.984,35.6978022
58,CO,414.694,401.932,36.43956044
59,A,416.469,414.694,37.18131868
60,CL,429.12,416.469,37.92307692
61,A,431.083,429.12,38.66483516
62,CO,443.851,431.083,39.40659341
63,A,445.614,443.851,40.13736264
64,CL,458.314,445.614,40.82417582
65,A,460.229,458.314,41.51098901
66,CO,472.985,460.229,42.1978022
67,A,474.765,472.985,42.88461538
68,CL,487.465,474.765,43.57142857
69,A,489.359,487.465,44.25824176
70,CO,502.154,489.359,44.94505495
71,A,503.906,502.154,45.63186813
72,CL,516.629,503.906,46.31868132
73,A,518.507,516.629,47.00549451
74,CO,531.304,518.507,47.69230769
75,A,533.042,531.304,48.37912088
76,CL,545.777,533.042,49.06593407
77,A,547.662,545.777,49.75274725
78,CO,560.471,547.662,50.43956044
79,A,562.195,560.471,51.12637363
80,CL,574.924,562.195,51.81318681
81,A,576.817,574.924,52.5
82,CO,589.63,576.817,53.18681319
83,A,601.734,589.63,53.87362637
84,CL,614.33,601.734,57.30769231
85,A,616.308,614.33,57.99450549
86,CO,629.077,616.308,58.68131868
87,A,630.848,629.077,59.36813187
88,CL,643.406,630.848,60.05494505
89,A,643.409,643.406,60.74175824
90,CO,643.427,643.409,61.42857143
91,A,643.429,643.427,62.11538462
92,CL,643.456,643.429,62.8021978
93,A,645.48,643.456,63.48901099
94,CO,658.239,645.48,64.17582418
95,A,659.999,658.239,64.86263736
96,CL,672.649,659.999,65.10989011
97,A,674.603,672.649,65.24725275
98,CO,687.384,674.603,65.38461538
99,A,689.134,687.384,65.52197802
100,CL,701.822,689.134,65.65934066
101,A,703.735,701.822,65.7967033
102,CO,716.538,703.735,65.93406593
103,A,718.295,716.538,66.07142857
104,CL,731.006,718.295,66.20879121
105,A,732.879,731.006,66.34615385
106,CO,745.684,732.879,66.48351648
107,A,747.43,745.684,66.62087912
108,CL,760.169,747.43,66.75824176
109,A,762.038,760.169,66.8956044
110,CO,774.845,762.038,67.03296703
111,A,776.574,774.845,67.17032967
112,CL,789.339,776.574,67.30769231
113,A,791.193,789.339,67.44505495
114,CO,803.987,791.193,67.58241758
115,A,805.721,803.987,67.71978022
116,CL,818.47,805.721,67.85714286
117,A,820.355,818.47,67.99450549
118,CO,833.161,820.355,68.13186813
119,A,834.863,833.161,68.26923077
120,CL,847.628,834.863,68.40659341
121,A,849.493,847.628,68.54395604
122,CO,862.299,849.493,68.68131868
123,A,864.014,862.299,68.81868132
124,CL,876.803,864.014,68.95604396
125,A,878.625,876.803,69.09340659
126,CO,891.461,878.625,69.23076923
127,A,897.373,891.461,69.36813187
128,CL,910.017,897.373,69.50549451
129,A,911.963,910.017,69.64285714
130,CO,924.716,911.963,69.78021978
131,A,926.492,924.716,69.91758242
132,CL,939.207,926.492,70.10989011
133,A,941.104,939.207,70.38461538
134,CO,953.861,941.104,70.65934066
135,A,955.641,953.861,70.93406593
136,CL,968.364,955.641,71.20879121
137,A,970.239,968.364,71.48351648
138,CO,983.025,970.239,71.75824176
139,A,984.783,983.025,72.03296703
140,CL,997.523,984.783,72.30769231
141,A,999.393,997.523,72.58241758
142,CO,1012.252,999.393,72.85714286
143,A,1013.922,1012.252,73.13186813
144,CL,1026.794,1013.922,73.40659341
145,A,1028.535,1026.794,73.68131868
146,CO,1041.416,1028.535,73.95604396
147,A,1043.043,1041.416,74.23076923
148,CL,1055.961,1043.043,74.50549451
149,A,1057.692,1055.961,74.78021978
150,CO,1070.544,1057.692,75.05494505
151,A,1072.192,1070.544,75.32967033
152,CL,1085.116,1072.192,75.6043956
153,A,1086.823,1085.116,75.87912088
154,CO,1099.723,1086.823,76.15384615
155,A,1101.328,1099.723,76.42857143
156,CL,1114.272,1101.328,76.7032967
157,A,1115.969,1114.272,76.97802198
158,CO,1128.859,1115.969,77.25274725
159,A,1130.49,1128.859,78.07692308
160,CL,1143.421,1130.49,78.35164835
161,A,1145.122,1143.421,78.62637363
162,CO,1158.034,1145.122,78.9010989
163,A,1159.626,1158.034,79.17582418
164,CL,1172.561,1159.626,79.45054945
165,A,1174.274,1172.561,79.72527473
166,CO,1187.19,1174.274,80
