index,cut_type,end_time,start_time,tool_wear
0,A,11.322,2.321,0.0
1,CL,11.324,11.322,0.216049382716
2,A,11.475,11.324,0.432098765432
3,CO,11.477,11.475,0.648148148148
4,A,12.096,11.477,0.864197530864
5,CL,12.103,12.096,1.08024691358
6,A,12.107,12.103,1.2962962963
7,CO,12.11,12.107,1.51234567901
8,A,12.124,12.11,1.72839506173
9,CL,12.151,12.124,1.94444444444
10,A,12.155,12.151,2.16049382716
11,CO,12.188,12.155,2.37654320988
12,A,12.193,12.188,2.59259259259
13,CL,12.272,12.193,2.80864197531
14,A,12.281,12.272,3.02469135802
15,CO,12.349,12.281,3.24074074074
16,A,12.352,12.349,3.45679012346
17,CL,12.355,12.352,3.67283950617
18,A,12.363,12.355,3.88888888889
19,CO,12.378,12.363,4.1049382716
20,A,12.401,12.378,4.32098765432
21,CL,12.405,12.401,4.53703703704
22,A,12.408,12.405,4.75308641975
23,CO,12.412,12.408,4.96913580247
24,A,12.413,12.412,5.18518518519
25,CL,12.416,12.413,5.4012345679
26,A,12.423,12.416,5.61728395062
27,CO,12.424,12.423,5.83333333333
28,A,12.425,12.424,6.04938271605
29,CL,12.426,12.425,6.26543209877
30,A,14.213,12.426,6.48148148148
31,CO,14.215,14.213,6.6975308642
32,A,14.216,14.215,6.91358024691
33,CL,14.222,14.216,7.12962962963
34,A,14.226,14.222,7.34567901235
35,CO,14.229,14.226,7.56172839506
36,A,14.231,14.229,7.77777777778
37,CL,14.233,14.231,7.99382716049
38,A,14.234,14.233,8.20987654321
39,CO,14.236,14.234,8.42592592593
40,A,14.239,14.236,8.64197530864
41,CL,14.272,14.239,8.85802469136
42,A,14.275,14.272,9.07407407407
43,CO,16.381,14.275,9.29012345679
44,A,28.461,16.381,9.50617283951
45,CL,30.633,28.461,9.72222222222
46,A,43.108,30.633,9.93827160494
47,CO,43.117,43.108,10.1543209877
48,A,43.153,43.117,10.3703703704
49,CL,45.487,43.153,10.5864197531
50,A,57.894,45.487,10.8024691358
51,CO,60.08,57.894,11.0185185185
52,A,72.602,60.08,11.2345679012
53,CL,74.831,72.602,11.450617284
54,A,87.423,74.831,11.6666666667
55,CO,89.591,87.423,11.8827160494
56,A,102.251,89.591,12.0987654321
57,CL,104.4,102.251,12.3148148148
58,A,116.927,104.4,12.5308641975
59,CO,119.038,116.927,12.7469135802
60,A,131.572,119.038,12.962962963
61,CL,133.743,131.572,13.1790123457
62,A,146.339,133.743,13.3950617284
63,CO,148.471,146.339,13.6111111111
64,A,161.057,148.471,13.8271604938
65,CL,163.208,161.057,14.0432098765
66,A,175.789,163.208,14.2592592593
67,CO,177.922,175.789,14.475308642
68,A,190.551,177.922,14.6913580247
69,CL,192.705,190.551,14.9074074074
70,A,205.23,192.705,15.1234567901
71,CO,207.249,205.23,15.3395061728
72,A,219.786,207.249,15.5555555556
73,CL,221.92,219.786,15.7716049383
74,A,234.422,221.92,15.987654321
75,CO,236.443,234.422,16.2037037037
76,A,249.012,236.443,16.4197530864
77,CL,251.179,249.012,16.6358024691
78,A,263.584,251.179,16.8518518519
79,CO,265.654,263.584,17.0679012346
80,A,278.007,265.654,17.2839506173
81,CL,280.154,278.007,17.5
82,A,292.359,280.154,17.7160493827
83,CO,295.601,292.359,17.9320987654
84,A,308.116,295.601,18.1481481481
85,CL,310.248,308.116,18.3641975309
86,A,321.528,310.248,18.5802469136
87,CO,323.51,321.528,18.7962962963
88,A,335.493,323.51,19.012345679
89,CL,337.721,335.493,19.2283950617
90,A,350.181,337.721,19.4444444444
91,CO,352.253,350.181,19.6604938272
92,A,364.34,352.253,19.8765432099
93,CL,366.48,364.34,20.1851851852
94,A,378.9,366.48,20.6172839506
95,CO,380.998,378.9,21.049382716
96,A,393.01,380.998,21.4814814815
97,CL,395.112,393.01,21.9135802469
98,A,407.396,395.112,22.3456790123
99,CO,409.494,407.396,22.7777777778
100,A,421.401,409.494,23.2098765432
101,CL,423.395,421.401,23.6419753086
102,A,435.716,423.395,24.0740740741
103,CO,437.742,435.716,24.5061728395
104,A,449.515,437.742,24.9382716049
105,CL,451.608,449.515,25.3703703704
106,A,463.879,451.608,25.8024691358
107,CO,465.877,463.879,26.2345679012
108,A,477.98,465.877,26.6666666667
109,CL,480.095,477.98,27.0987654321
110,A,492.281,480.095,27.5308641975
111,CO,494.234,492.281,27.962962963
112,A,506.436,494.234,28.3950617284
113,CL,508.572,506.436,28.8271604938
114,A,520.367,508.572,29.2592592593
115,CO,522.36,520.367,29.6913580247
116,A,533.872,522.36,30.1234567901
117,CL,535.944,533.872,30.5555555556
118,A,548.56,535.944,30.987654321
119,CO,550.579,548.56,31.4197530864
120,A,562.895,550.579,31.8518518519
121,CL,564.996,562.895,32.2839506173
122,A,577.184,564.996,32.7160493827
123,CO,580.363,577.184,33.1481481481
124,A,592.657,580.363,33.5802469136
125,CL,594.688,592.657,34.012345679
126,A,606.926,594.688,34.4444444444
127,CO,608.903,606.926,34.8765432099
128,A,621.111,608.903,35.3086419753
129,CL,623.122,621.111,35.7407407407
130,A,635.429,623.122,36.1728395062
131,CO,637.326,635.429,36.6049382716
132,A,649.419,637.326,37.037037037
133,CL,651.445,649.419,37.4691358025
134,A,663.268,651.445,37.9012345679
135,CO,664.887,663.268,38.3333333333
136,A,676.646,664.887,38.7654320988
137,CL,678.72,676.646,39.1975308642
