index,cut_type,end_time,start_time,tool_wear
0,A,23.068,14.32,0.0
1,CL,24.268,23.068,0.272277227723
2,A,32.937,24.268,0.544554455446
3,CO,34.128,32.937,0.816831683168
4,A,42.847,34.128,1.08910891089
5,CL,44.074,42.847,1.36138613861
6,A,51.911,44.074,1.63366336634
7,CO,52.994,51.911,1.90594059406
8,A,61.464,52.994,2.17821782178
9,CL,62.331,61.464,2.4504950495
10,A,70.537,62.331,2.72277227723
11,CO,71.719,70.537,2.99504950495
12,A,80.465,71.719,3.26732673267
13,CL,81.657,80.465,3.5396039604
14,A,90.056,81.657,3.81188118812
15,CO,91.214,90.056,4.08415841584
16,A,99.941,91.214,4.35643564356
17,CL,101.174,99.941,4.62871287129
18,A,109.863,101.174,4.90099009901
19,CO,111.031,109.863,5.17326732673
20,A,119.757,111.031,5.44554455446
21,CL,120.977,119.757,5.71782178218
22,A,129.689,120.977,5.9900990099
23,CO,130.833,129.689,6.26237623762
24,A,138.878,130.833,6.53465346535
25,CL,139.883,138.878,6.80693069307
26,A,148.112,139.883,7.07920792079
27,CO,149.233,148.112,7.35148514851
28,A,157.382,149.233,7.62376237624
29,CL,158.616,157.382,7.89603960396
30,A,167.254,158.616,8.16831683168
31,CO,168.372,167.254,8.44059405941
32,A,177.118,168.372,8.71287128713
33,CL,178.348,177.118,8.98514851485
34,A,187.074,178.348,9.25742574257
35,CO,188.171,187.074,9.5297029703
36,A,196.918,188.171,9.80198019802
37,CL,198.995,196.918,10.0742574257
38,A,207.657,198.995,10.3465346535
39,CO,208.864,207.657,10.6188118812
40,A,217.603,208.864,10.8910891089
41,CL,218.787,217.603,11.1633663366
42,A,227.485,218.787,11.4356435644
43,CO,228.689,227.485,11.7079207921
44,A,237.382,228.689,11.9801980198
45,CL,238.61,237.382,12.2524752475
46,A,247.304,238.61,12.5247524752
47,CO,248.496,247.304,12.797029703
48,A,257.063,248.496,13.0693069307
49,CL,258.26,257.063,13.3415841584
50,A,266.963,258.26,13.6138613861
51,CO,268.133,266.963,13.8861386139
52,A,276.834,268.133,14.1584158416
53,CL,278.066,276.834,14.4306930693
54,A,286.747,278.066,14.702970297
55,CO,287.939,286.747,14.9752475248
56,A,296.637,287.939,15.2475247525
57,CL,297.873,296.637,15.5198019802
58,A,306.586,297.873,15.7920792079
