index,cut_type,end_time,start_time,tool_wear
0,A,10.294,2.114,0.0
1,CL,11.642,10.294,0.833333333333
2,A,20.35,11.642,1.66666666667
3,CO,21.539,20.35,2.5
4,A,30.113,21.539,3.33333333333
5,CL,30.115,30.113,4.16666666667
6,A,30.116,30.115,5.0
7,CO,30.773,30.116,5.83333333333
8,A,30.779,30.773,6.66666666667
9,CL,30.782,30.779,7.5
10,A,30.787,30.782,8.33333333333
11,CO,30.788,30.787,9.16666666667
12,A,30.789,30.788,10.0
13,CL,30.808,30.789,10.8333333333
14,A,30.899,30.808,11.6666666667
15,CO,30.97,30.899,12.5
16,A,30.971,30.97,13.3333333333
17,CL,30.972,30.971,14.1666666667
18,A,31.15,30.972,15.0
19,CO,31.151,31.15,15.8333333333
20,A,31.152,31.151,16.6666666667
21,CL,31.464,31.152,17.5
22,A,40.138,31.464,18.3333333333
23,CO,41.351,40.138,19.1666666667
24,A,49.902,41.351,20.0
25,CL,51.136,49.902,20.8333333333
26,A,51.137,51.136,21.6666666667
27,CO,51.138,51.137,22.5
28,A,51.18,51.138,23.3333333333
29,CL,51.195,51.18,24.1666666667
30,A,51.196,51.195,25.0
31,CO,51.197,51.196,25.8333333333
32,A,51.198,51.197,26.6666666667
33,CL,51.228,51.198,27.5
34,A,59.978,51.228,28.3333333333
35,CO,59.979,59.978,29.1666666667
36,A,59.98,59.979,30.0
37,CL,61.159,59.98,30.8333333333
38,A,69.528,61.159,31.6666666667
39,CO,70.231,69.528,32.5
40,A,70.263,70.231,33.3333333333
41,CL,70.507,70.263,34.1666666667
42,A,78.967,70.507,35.0
43,CO,80.122,78.967,35.8333333333
44,A,88.744,80.122,36.6666666667
45,CL,88.745,88.744,37.5
46,A,88.746,88.745,38.3333333333
47,CO,88.75,88.746,39.1666666667
48,A,88.753,88.75,40.0
49,CL,89.739,88.753,40.8333333333
50,A,89.74,89.739,41.6666666667
51,CO,90.042,89.74,42.5
52,A,98.759,90.042,43.3333333333
53,CL,99.948,98.759,44.1666666667
54,A,108.629,99.948,45.0
55,CO,109.872,108.629,45.8333333333
56,A,118.593,109.872,46.6666666667
57,CL,119.758,118.593,47.5
58,A,128.409,119.758,48.3333333333
59,CO,129.693,128.409,49.1666666667
60,A,138.39,129.693,50.0
61,CL,139.589,138.39,50.5
62,A,148.233,139.589,51.0
63,CO,149.491,148.233,51.5
64,A,158.222,149.491,52.0
65,CL,159.387,158.222,52.5
66,A,168.053,159.387,53.0
67,CO,169.305,168.053,53.5
68,A,178.039,169.305,54.0
69,CL,179.192,178.039,54.5
70,A,187.883,179.192,55.0
71,CO,189.109,187.883,55.5
72,A,197.739,189.109,56.0
73,CL,201.677,197.739,56.5
74,A,210.248,201.677,57.0
75,CO,211.544,210.248,57.5
76,A,220.3,211.544,58.0
77,CL,221.424,220.3,58.5
78,A,230.091,221.424,59.0
79,CO,231.351,230.091,59.5
80,A,240.088,231.351,60.0
81,CL,241.253,240.088,60.5
82,A,249.914,241.253,61.0
83,CO,251.15,249.914,61.5
84,A,259.918,251.15,62.0
85,CL,261.051,259.918,62.5
86,A,269.702,261.051,63.0
87,CO,269.703,269.702,63.5
88,A,269.706,269.703,64.0
89,CL,270.959,269.706,64.5
90,A,279.718,270.959,65.0
91,CO,280.842,279.718,65.5
92,A,289.53,280.842,66.0
93,CL,289.532,289.53,66.5
94,A,289.533,289.532,67.0
95,CO,290.776,289.533,67.5
96,A,299.541,290.776,68.0
97,CL,300.667,299.541,68.5
98,A,309.388,300.667,69.0
99,CO,310.571,309.388,69.5
100,A,319.361,310.571,70.0
101,CL,319.362,319.361,70.5
102,A,319.363,319.362,71.0
103,CO,320.173,319.363,71.5
104,A,329.179,320.173,72.0
105,CL,330.389,329.179,72.5
106,A,339.187,330.389,73.0
107,CO,340.271,339.187,73.5
108,A,349.007,340.271,74.0
109,CL,350.219,349.007,74.5
110,A,358.97,350.219,75.0
111,CO,360.097,358.97,75.5
112,A,368.797,360.097,76.0
113,CL,370.044,368.797,76.5
114,A,378.779,370.044,77.0
115,CO,378.78,378.779,77.5
116,A,378.781,378.78,78.0
117,CL,379.916,378.781,78.5
118,A,388.587,379.916,79.0
119,CO,389.848,388.587,79.5
120,A,397.763,389.848,80.0
