index,cut_type,end_time,start_time,tool_wear
0,A,14.658,0.0,0.0
1,CL,27.483,14.658,2.10526315789
2,A,28.771,27.483,4.21052631579
3,CO,41.505,28.771,6.31578947368
4,A,42.985,41.505,8.42105263158
5,CO,55.84,42.985,10.5263157895
6,A,57.148,55.84,12.6315789474
7,CL,69.94,57.148,14.7368421053
8,A,71.339,69.94,16.8421052632
9,CO,84.26,71.339,18.9473684211
10,A,85.496,84.26,21.0526315789
11,CL,98.316,85.496,23.1578947368
12,A,99.693,98.316,25.2631578947
13,CO,112.612,99.693,27.3684210526
14,A,113.849,112.612,29.4736842105
15,CL,125.056,113.849,31.5789473684
16,A,126.378,125.056,33.6842105263
17,CO,139.309,126.378,35.7894736842
18,A,140.542,139.309,37.8947368421
19,CL,153.425,140.542,40.0
20,A,154.741,153.425,42.1052631579
21,CO,167.666,154.741,44.2105263158
22,A,168.904,167.666,46.3157894737
23,CL,181.756,168.904,48.4210526316
24,A,183.104,181.756,50.5263157895
25,CO,196.069,183.104,52.6315789474
26,A,197.239,196.069,54.7368421053
27,CL,210.155,197.239,56.8421052632
28,A,211.47,210.155,58.9473684211
29,CO,224.412,211.47,61.0526315789
30,A,225.602,224.412,63.1578947368
31,CL,238.543,225.602,65.2631578947
32,A,239.831,238.543,67.3684210526
33,CO,252.789,239.831,69.4736842105
34,A,253.989,252.789,71.5789473684
35,CL,266.408,253.989,73.6842105263
36,A,267.295,266.408,75.7894736842
37,CO,279.737,267.295,77.8947368421
38,A,285.04,279.737,80.0
