index,cut_type,end_time,start_time,tool_wear
0,A,30.026,1.534,0.0
1,CL,30.027,30.026,0.234375
2,A,30.028,30.027,0.46875
3,CO,30.044,30.028,0.703125
4,A,30.045,30.044,0.9375
5,CL,30.049,30.045,1.171875
6,A,30.05,30.049,1.40625
7,CO,30.059,30.05,1.640625
8,A,30.066,30.059,1.875
9,CL,30.068,30.066,2.109375
10,A,30.085,30.068,2.34375
11,CO,30.089,30.085,2.578125
12,A,50.117,30.089,2.8125
13,CL,50.118,50.117,3.046875
14,A,50.12,50.118,3.28125
15,CO,50.122,50.12,3.515625
16,A,50.271,50.122,3.75
17,CL,50.311,50.271,3.984375
18,A,50.323,50.311,4.21875
19,CO,50.324,50.323,4.453125
20,A,50.336,50.324,4.6875
21,CL,50.337,50.336,4.921875
22,A,50.338,50.337,5.15625
23,CO,50.339,50.338,5.390625
24,A,50.394,50.339,5.625
25,CL,50.395,50.394,5.859375
26,A,50.4,50.395,6.09375
27,CO,50.403,50.4,6.328125
28,A,50.42,50.403,6.5625
29,CL,50.471,50.42,6.796875
30,A,50.472,50.471,7.03125
31,CO,50.473,50.472,7.265625
32,A,50.474,50.473,7.5
33,CL,50.478,50.474,7.734375
34,A,50.479,50.478,7.96875
35,CO,50.48,50.479,8.203125
36,A,50.485,50.48,8.4375
37,CL,50.551,50.485,8.671875
38,A,59.635,50.551,8.90625
39,CO,59.796,59.635,9.140625
40,A,59.797,59.796,9.375
41,CL,59.798,59.797,9.609375
42,A,69.522,59.798,9.84375
43,CO,69.523,69.522,10.078125
44,A,69.524,69.523,10.3125
45,CL,69.526,69.524,10.546875
46,A,79.5,69.526,10.78125
47,CO,79.504,79.5,11.015625
48,A,79.516,79.504,11.25
49,CL,79.519,79.516,11.484375
50,A,80.099,79.519,11.71875
51,CO,80.378,80.099,11.953125
52,A,80.405,80.378,12.1875
53,CL,80.406,80.405,12.421875
54,A,80.409,80.406,12.65625
55,CO,80.41,80.409,12.890625
56,A,80.415,80.41,13.125
57,CL,80.426,80.415,13.359375
58,A,80.438,80.426,13.59375
59,CO,80.45,80.438,13.828125
60,A,80.456,80.45,14.0625
61,CL,80.461,80.456,14.296875
62,A,80.466,80.461,14.53125
63,CO,80.524,80.466,14.765625
64,A,89.712,80.524,15.0
65,CL,89.768,89.712,15.234375
66,A,89.769,89.768,15.46875
67,CO,89.773,89.769,15.703125
68,A,89.776,89.773,15.9375
69,CL,89.779,89.776,16.171875
70,A,89.907,89.779,16.40625
71,CO,89.936,89.907,16.640625
72,A,99.849,89.936,16.875
73,CL,100.217,99.849,17.109375
74,A,100.308,100.217,17.34375
75,CO,100.309,100.308,17.578125
76,A,100.31,100.309,17.8125
77,CL,100.334,100.31,18.046875
78,A,109.138,100.334,18.28125
79,CO,109.157,109.138,18.515625
80,A,109.158,109.157,18.75
81,CL,109.159,109.158,18.984375
82,A,109.161,109.159,19.21875
83,CO,109.162,109.161,19.453125
84,A,109.176,109.162,19.6875
85,CL,109.196,109.176,19.921875
86,A,109.221,109.196,20.15625
87,CO,109.229,109.221,20.390625
88,A,109.454,109.229,20.625
89,CL,109.456,109.454,20.859375
90,A,109.46,109.456,21.09375
91,CO,109.585,109.46,21.328125
92,A,109.825,109.585,21.5625
93,CL,109.826,109.825,21.796875
94,A,109.828,109.826,22.03125
95,CO,110.244,109.828,22.265625
96,A,119.116,110.244,22.5
97,CL,119.117,119.116,22.734375
98,A,119.123,119.117,22.96875
99,CO,119.202,119.123,23.203125
100,A,119.447,119.202,23.4375
101,CL,119.451,119.447,23.671875
102,A,119.456,119.451,23.90625
103,CO,119.459,119.456,24.140625
104,A,119.46,119.459,24.375
105,CL,119.461,119.46,24.609375
106,A,119.462,119.461,24.84375
107,CO,119.463,119.462,25.078125
108,A,119.47,119.463,25.3125
109,CL,119.474,119.47,25.546875
110,A,119.602,119.474,25.78125
111,CO,119.926,119.602,26.015625
112,A,119.929,119.926,26.25
113,CL,119.93,119.929,26.484375
114,A,129.264,119.93,26.71875
115,CO,129.959,129.264,26.953125
116,A,139.014,129.959,27.1875
117,CL,139.062,139.014,27.421875
118,A,139.064,139.062,27.65625
119,CO,139.065,139.064,27.890625
120,A,139.075,139.065,28.125
121,CL,139.076,139.075,28.359375
122,A,139.077,139.076,28.59375
123,CO,139.078,139.077,28.828125
124,A,139.246,139.078,29.0625
125,CL,139.294,139.246,29.296875
126,A,139.543,139.294,29.53125
127,CO,139.724,139.543,29.765625
128,A,139.908,139.724,30.0
129,CL,139.967,139.908,30.234375
130,A,148.753,139.967,30.46875
131,CO,148.769,148.753,30.703125
132,A,148.773,148.769,30.9375
133,CL,148.776,148.773,31.171875
134,A,148.777,148.776,31.40625
135,CO,148.778,148.777,31.640625
136,A,148.782,148.778,31.875
137,CL,148.784,148.782,32.109375
138,A,148.785,148.784,32.34375
139,CO,148.873,148.785,32.578125
140,A,149.088,148.873,32.8125
141,CL,149.096,149.088,33.046875
142,A,149.097,149.096,33.28125
143,CO,149.224,149.097,33.515625
144,A,149.257,149.224,33.75
145,CL,149.684,149.257,33.984375
146,A,158.744,149.684,34.21875
147,CO,158.751,158.744,34.453125
148,A,158.755,158.751,34.6875
149,CL,158.756,158.755,34.921875
150,A,158.757,158.756,35.15625
151,CO,158.81,158.757,35.390625
152,A,158.811,158.81,35.625
153,CL,158.815,158.811,35.859375
154,A,158.82,158.815,36.09375
155,CO,158.821,158.82,36.328125
156,A,158.823,158.821,36.5625
157,CL,158.83,158.823,36.796875
158,A,158.856,158.83,37.03125
159,CO,158.862,158.856,37.265625
160,A,158.875,158.862,37.5
161,CL,158.876,158.875,37.734375
162,A,158.878,158.876,37.96875
163,CO,158.879,158.878,38.203125
164,A,159.063,158.879,38.4375
165,CL,159.068,159.063,38.671875
166,A,159.072,159.068,38.90625
167,CO,159.105,159.072,39.140625
168,A,159.27,159.105,39.375
169,CL,159.271,159.27,39.609375
170,A,159.274,159.271,39.84375
171,CO,159.802,159.274,40.0390625
172,A,168.548,159.802,40.15625
173,CL,168.675,168.548,40.2734375
174,A,168.678,168.675,40.390625
175,CO,168.679,168.678,40.5078125
176,A,168.932,168.679,40.625
177,CL,169.041,168.932,40.7421875
178,A,169.043,169.041,40.859375
179,CO,169.044,169.043,40.9765625
180,A,169.086,169.044,41.09375
181,CL,169.087,169.086,41.2109375
182,A,169.088,169.087,41.328125
183,CO,169.302,169.088,41.4453125
184,A,169.309,169.302,41.5625
185,CL,169.311,169.309,41.6796875
186,A,169.315,169.311,41.796875
187,CO,169.316,169.315,41.9140625
188,A,169.317,169.316,42.03125
189,CL,169.337,169.317,42.1484375
190,A,169.338,169.337,42.265625
191,CO,169.339,169.338,42.3828125
192,A,169.342,169.339,42.5
193,CL,169.344,169.342,42.6171875
194,A,169.349,169.344,42.734375
195,CO,169.351,169.349,42.8515625
196,A,169.364,169.351,42.96875
197,CL,169.365,169.364,43.0859375
198,A,169.366,169.365,43.203125
199,CO,169.424,169.366,43.3203125
200,A,169.446,169.424,43.4375
201,CL,169.447,169.446,43.5546875
202,A,169.448,169.447,43.671875
203,CO,169.486,169.448,43.7890625
204,A,169.487,169.486,43.90625
205,CL,169.488,169.487,44.0234375
206,A,179.005,169.488,44.140625
207,CO,179.576,179.005,44.2578125
208,A,188.725,179.576,44.375
209,CL,188.821,188.725,44.4921875
210,A,188.87,188.821,44.609375
211,CO,188.871,188.87,44.7265625
212,A,188.872,188.871,44.84375
213,CL,189.474,188.872,44.9609375
214,A,198.215,189.474,45.078125
