index,cut_type,end_time,start_time,tool_wear
0,A,19.261,6.483,0.0
1,CL,20.912,19.261,0.166402535658
2,A,33.431,20.912,0.332805071315
3,CO,34.976,33.431,0.499207606973
4,A,47.88,34.976,0.665610142631
5,CL,49.694,47.88,0.832012678288
6,A,62.228,49.694,0.998415213946
7,CO,63.897,62.228,1.1648177496
8,A,76.429,63.897,1.33122028526
9,CL,78.212,76.429,1.49762282092
10,A,90.881,78.212,1.66402535658
11,CO,92.538,90.881,1.83042789223
12,A,105.373,92.538,1.99683042789
13,CL,106.955,105.373,2.16323296355
14,A,119.824,106.955,2.32963549921
15,CO,121.335,119.824,2.49603803487
16,A,134.002,121.335,2.66244057052
17,CL,135.701,134.002,2.82884310618
18,A,148.581,135.701,2.99524564184
19,CO,150.18,148.581,3.1616481775
20,A,162.43,150.18,3.32805071315
21,CL,164.057,162.43,3.49445324881
22,A,177.266,164.057,3.66085578447
23,CO,178.903,177.266,3.82725832013
24,A,191.546,178.903,3.99366085578
25,CL,193.194,191.546,4.16006339144
26,A,206.063,193.194,4.3264659271
27,CO,207.736,206.063,4.49286846276
28,A,220.532,207.736,4.65927099842
29,CL,222.291,220.532,4.82567353407
30,A,235.471,222.291,4.99207606973
31,CO,237.146,235.471,5.15847860539
32,A,249.573,237.146,5.32488114105
33,CL,251.35,249.573,5.4912836767
34,A,264.001,251.35,5.65768621236
35,CO,265.645,264.001,5.82408874802
36,A,278.451,265.645,5.99049128368
37,CL,280.201,278.451,6.15689381933
38,A,293.353,280.201,6.32329635499
39,CO,296.169,293.353,6.48969889065
40,A,309.119,296.169,6.65610142631
41,CL,310.868,309.119,6.82250396197
42,A,323.398,310.868,6.98890649762
43,CO,324.985,323.398,7.17749603803
44,A,337.739,324.985,7.3676703645
45,CL,339.497,337.739,7.55784469097
46,A,352.334,339.497,7.74801901743
47,CO,353.916,352.334,7.9381933439
48,A,367.002,353.916,8.12836767036
49,CL,368.736,367.002,8.31854199683
50,A,381.786,368.736,8.5087163233
51,CO,383.252,381.786,8.69889064976
52,A,396.255,383.252,8.88906497623
53,CL,397.978,396.255,9.07923930269
54,A,411.212,397.978,9.26941362916
55,CO,412.768,411.212,9.45958795563
56,A,425.343,412.768,9.64976228209
57,CL,427.034,425.343,9.83993660856
58,A,440.225,427.034,10.030110935
59,CO,441.877,440.225,10.2202852615
60,A,454.721,441.877,10.410459588
61,CL,456.447,454.721,10.6006339144
62,A,469.267,456.447,10.7908082409
63,CO,470.927,469.267,10.9809825674
64,A,483.427,470.927,11.1711568938
65,CL,485.141,483.427,11.3613312203
66,A,498.246,485.141,11.5515055468
67,CO,499.861,498.246,11.7416798732
68,A,512.296,499.861,11.9318541997
69,CL,514.012,512.296,12.1220285261
70,A,527.059,514.012,12.3122028526
71,CO,528.708,527.059,12.5023771791
72,A,541.138,528.708,12.6925515055
73,CL,542.838,541.138,12.882725832
74,A,556.021,542.838,13.0729001585
75,CO,557.659,556.021,13.2630744849
76,A,570.284,557.659,13.4532488114
77,CL,571.898,570.284,13.6434231379
78,A,584.731,571.898,13.8335974643
79,CO,586.305,584.731,14.0237717908
80,A,598.349,586.305,14.2139461173
81,CL,599.957,598.349,14.4041204437
82,A,611.671,599.957,14.5942947702
83,CO,613.24,611.671,14.7844690967
84,A,625.514,613.24,14.9746434231
85,CL,626.892,625.514,15.1030110935
86,A,638.622,626.892,15.2218700475
87,CO,638.623,638.622,15.3407290016
88,A,638.624,638.623,15.4595879556
