index,cut_type,end_time,start_time,tool_wear
0,CL,16.334,3.803,0
1,A,18.388,16.334,0.625
2,CO,31.026,18.388,1.25
3,A,32.889,31.026,1.875
4,CL,45.493,32.889,2.5
5,A,47.502,45.493,3.125
6,CO,60.141,47.502,3.75
7,A,62.035,60.141,4.375
8,CL,74.593,62.035,5
9,A,76.63,74.593,5.625
10,CO,89.286,76.63,7.5
11,A,91.191,89.286,8.125
12,CL,103.741,91.191,8.75
13,A,105.744,103.741,9.375
14,CO,118.433,105.744,10
15,A,120.292,118.433,10.625
16,CL,132.925,120.292,11.25
17,A,134.895,132.925,11.875
18,CO,147.572,134.895,13.75
19,A,149.423,147.572,14.375
20,CL,162.054,149.423,15
21,A,164.039,162.054,15.625
22,CO,176.755,164.039,16.25
23,A,178.56,176.755,16.875
24,CL,191.283,178.56,17.5
25,A,193.17,191.283,18.125
26,CO,205.859,193.17,18.75
27,A,207.718,205.859,19.375
28,CL,220.429,207.718,20
29,A,222.295,220.429,20.625
30,CO,235.027,222.295,21.25
31,A,236.853,235.027,21.875
32,CL,249.604,236.853,22.5
33,A,251.424,249.604,23.125
34,CO,264.195,251.424,23.75
35,A,265.999,264.195,24.375
36,CL,278.764,265.999,25
37,A,280.619,278.764,25.625
38,CO,293.367,280.619,26.25
39,A,306.176,293.367,26.875
40,CL,318.929,306.176,31.25
41,A,320.748,318.929,31.875
42,CO,333.523,320.748,32.5
43,A,335.3,333.523,33.125
44,CL,348.05,335.3,33.75
45,A,349.893,348.05,34.375
46,CO,362.656,349.893,35
47,A,364.432,362.656,35.625
48,CL,377.185,364.432,36.25
49,A,379.033,377.185,36.875
50,CO,391.805,379.033,37.5
51,A,393.581,391.805,38.125
52,CL,406.346,393.581,38.75
53,A,408.193,406.346,39.375
54,CO,420.968,408.193,40
55,A,422.736,420.968,40.625
56,CL,435.495,422.736,41.25
57,A,437.338,435.495,41.875
58,CO,450.114,437.338,42.5
59,A,451.88,450.114,43.125
60,CL,464.64,451.88,43.75
61,A,466.457,464.64,44.375
62,CO,479.264,466.457,45
63,A,481.029,479.264,45.625
64,CL,493.816,481.029,46.25
65,A,495.617,493.816,46.875
66,CO,508.422,495.617,47.5
67,A,510.187,508.422,48.125
68,CL,522.955,510.187,48.75
69,A,524.763,522.955,49.375
70,CO,537.575,524.763,50
71,A,539.32,537.575,50.75
72,CL,552.098,539.32,51.5
73,A,553.918,552.098,52.25
74,CO,566.735,553.918,53
75,A,568.467,566.735,53.75
76,CL,581.254,568.467,54.5
77,A,583.053,581.254,55.25
78,CO,595.877,583.053,56
79,A,603.712,595.877,56.75
80,CL,616.498,603.712,57.5
81,A,618.29,616.498,58.25
82,CO,631.114,618.29,59
83,A,632.852,631.114,59.75
84,CL,645.583,632.852,60.5
85,A,647.429,645.583,61.25
86,CO,660.259,647.429,62
87,A,662.012,660.259,62.75
88,CL,674.751,662.012,63.5
89,A,676.575,674.751,64.25
90,CO,689.41,676.575,65
91,A,691.155,689.41,65.75
92,CL,703.908,691.155,66.5
93,A,705.738,703.908,67.25
94,CO,718.586,705.738,68
95,A,720.29,718.586,68.75
96,CL,733.074,720.29,69.5
97,A,734.883,733.074,70.25
98,CO,747.726,734.883,71
99,A,749.432,747.726,71.75
100,CL,762.223,749.432,72.5
101,A,764.025,762.223,73.25
102,CO,776.869,764.025,74
103,A,778.568,776.869,74.75
104,CL,791.381,778.568,75.5
105,A,793.176,791.381,76.25
