index,cut_type,end_time,start_time,tool_wear
0,A,28.494,16.001,0.0
1,CL,30.661,28.494,0.355029585799
2,A,43.491,30.661,0.710059171598
3,CO,45.505,43.491,1.0650887574
4,A,58.239,45.505,1.4201183432
5,CL,60.092,58.239,1.77514792899
6,A,60.284,60.092,2.13017751479
7,CO,60.344,60.284,2.48520710059
8,A,73.236,60.344,2.84023668639
9,CL,75.224,73.236,3.19526627219
10,A,87.96,75.224,3.55029585799
11,CO,90.07,87.96,3.90532544379
12,A,103.055,90.07,4.26035502959
13,CL,104.91,103.055,4.61538461538
14,A,117.912,104.91,4.97041420118
15,CO,119.319,117.912,5.32544378698
16,A,119.676,119.319,5.68047337278
17,CL,119.677,119.676,6.03550295858
18,A,119.678,119.677,6.39053254438
19,CO,119.769,119.678,6.74556213018
20,A,132.771,119.769,7.10059171598
21,CL,134.428,132.771,7.45562130178
22,A,134.446,134.428,7.81065088757
23,CO,134.452,134.446,8.16568047337
24,A,134.463,134.452,8.52071005917
25,CL,134.464,134.463,8.87573964497
26,A,134.563,134.464,9.23076923077
27,CO,134.565,134.563,9.58579881657
28,A,134.566,134.565,9.94082840237
29,CL,134.568,134.566,10.2958579882
30,A,134.572,134.568,10.650887574
31,CO,134.617,134.572,11.0059171598
32,A,134.626,134.617,11.3609467456
33,CL,134.627,134.626,11.7159763314
34,A,147.538,134.627,12.0710059172
35,CO,149.491,147.538,12.426035503
36,A,149.493,149.491,12.7810650888
37,CL,149.495,149.493,13.1360946746
38,A,162.415,149.495,13.4911242604
39,CO,163.929,162.415,13.8461538462
40,A,164.152,163.929,14.201183432
41,CL,164.156,164.152,14.5562130178
42,A,164.157,164.156,14.9112426036
43,CO,164.215,164.157,15.2662721893
44,A,177.214,164.215,15.6213017751
45,CL,178.814,177.214,15.9763313609
46,A,179.039,178.814,16.3313609467
47,CO,179.094,179.039,16.6863905325
48,A,192.115,179.094,17.0414201183
49,CL,193.588,192.115,17.3964497041
50,A,193.817,193.588,17.7514792899
51,CO,193.948,193.817,18.1065088757
52,A,206.933,193.948,18.4615384615
53,CL,208.803,206.933,18.8165680473
54,A,221.812,208.803,19.1715976331
55,CO,223.438,221.812,19.5266272189
56,A,223.571,223.438,19.8816568047
57,CL,223.584,223.571,20.2366863905
58,A,223.585,223.584,20.5917159763
59,CO,223.609,223.585,20.9467455621
60,A,236.546,223.609,21.3017751479
61,CL,238.474,236.546,21.6568047337
62,A,251.48,238.474,22.0118343195
63,CO,253.319,251.48,22.3668639053
64,A,253.321,253.319,22.7218934911
65,CL,253.322,253.321,23.0769230769
66,A,266.296,253.322,23.4319526627
67,CO,268.194,266.296,23.7869822485
68,A,281.205,268.194,24.1420118343
69,CL,283.047,281.205,24.4970414201
70,A,295.165,283.047,24.8520710059
71,CO,297.053,295.165,25.2071005917
72,A,309.93,297.053,25.5621301775
73,CL,309.931,309.93,25.9171597633
74,A,309.932,309.931,26.2721893491
75,CO,329.075,309.932,26.6272189349
76,A,329.076,329.075,26.9822485207
77,CL,329.077,329.076,27.3372781065
78,A,341.869,329.077,27.6923076923
79,CO,343.612,341.869,28.0473372781
80,A,343.613,343.612,28.4023668639
81,CL,343.614,343.613,28.7573964497
82,A,343.722,343.614,29.1124260355
83,CO,343.776,343.722,29.4674556213
84,A,356.81,343.776,29.8224852071
85,CL,356.811,356.81,30.1775147929
86,A,356.812,356.811,30.5325443787
87,CO,358.62,356.812,30.8875739645
88,A,371.564,358.62,31.2426035503
89,CL,373.495,371.564,31.5976331361
90,A,386.458,373.495,31.9526627219
91,CO,388.379,386.458,32.3076923077
92,A,401.341,388.379,32.6627218935
93,CL,403.218,401.341,33.0177514793
94,A,416.244,403.218,33.3727810651
95,CO,418.059,416.244,33.7278106509
96,A,431.004,418.059,34.0828402367
97,CL,432.601,431.004,34.4378698225
98,A,432.813,432.601,34.7928994083
99,CO,432.941,432.813,35.1479289941
100,A,445.792,432.941,35.5029585799
101,CL,447.697,445.792,35.8579881657
102,A,447.701,447.697,36.2130177515
103,CO,447.703,447.701,36.5680473373
104,A,460.687,447.703,36.9230769231
105,CL,460.688,460.687,37.2781065089
106,A,460.691,460.688,37.6331360947
107,CO,462.546,460.691,37.9881656805
108,A,475.542,462.546,38.3431952663
109,CL,477.126,475.542,38.6982248521
110,A,477.339,477.126,39.0532544379
111,CO,477.34,477.339,39.4082840237
112,A,477.346,477.34,39.7633136095
113,CL,477.393,477.346,40.0295857988
114,A,490.135,477.393,40.1183431953
115,CO,492.034,490.135,40.2071005917
116,A,505.084,492.034,40.2958579882
117,CL,505.085,505.084,40.3846153846
118,A,505.089,505.085,40.4733727811
119,CO,505.09,505.089,40.5621301775
120,A,505.091,505.09,40.650887574
121,CL,506.535,505.091,40.7396449704
122,A,506.567,506.535,40.8284023669
123,CO,506.574,506.567,40.9171597633
124,A,506.575,506.574,41.0059171598
125,CL,506.576,506.575,41.0946745562
126,A,506.583,506.576,41.1834319527
127,CO,506.872,506.583,41.2721893491
128,A,519.86,506.872,41.3609467456
129,CL,519.861,519.86,41.449704142
130,A,519.862,519.861,41.5384615385
131,CO,521.742,519.862,41.6272189349
132,A,534.752,521.742,41.7159763314
133,CL,536.203,534.752,41.8047337278
134,A,536.557,536.203,41.8934911243
135,CO,536.601,536.557,41.9822485207
136,A,549.569,536.601,42.0710059172
137,CL,551.113,549.569,42.1597633136
138,A,551.342,551.113,42.2485207101
139,CO,551.353,551.342,42.3372781065
140,A,551.354,551.353,42.426035503
141,CL,551.456,551.354,42.5147928994
142,A,564.467,551.456,42.6035502959
143,CO,566.307,564.467,42.6923076923
144,A,579.297,566.307,42.7810650888
145,CL,581.186,579.297,42.8698224852
146,A,594.155,581.186,42.9585798817
147,CO,595.768,594.155,43.0473372781
148,A,595.987,595.768,43.1360946746
149,CL,596.03,595.987,43.224852071
150,A,609.025,596.03,43.3136094675
151,CO,610.902,609.025,43.4023668639
152,A,623.1,610.902,43.4911242604
153,CL,638.408,623.1,43.5798816568
154,A,651.379,638.408,43.6686390533
155,CO,653.232,651.379,43.7573964497
156,A,666.293,653.232,43.8461538462
157,CL,666.294,666.293,43.9349112426
158,A,666.296,666.294,44.0236686391
159,CO,666.297,666.296,44.1124260355
160,A,666.298,666.297,44.201183432
161,CL,668.087,666.298,44.2899408284
162,A,681.045,668.087,44.3786982249
163,CO,682.972,681.045,44.4674556213
164,A,695.979,682.972,44.5562130178
165,CL,697.799,695.979,44.6449704142
166,A,710.789,697.799,44.7337278107
167,CO,712.671,710.789,44.8224852071
168,A,725.75,712.671,44.9112426036
169,CL,727.517,725.75,45.0
170,A,740.511,727.517,45.0887573964
171,CO,740.512,740.511,45.1775147929
172,A,740.513,740.512,45.2662721893
173,CL,742.39,740.513,45.3550295858
174,A,755.344,742.39,45.4437869822
175,CO,757.105,755.344,45.5325443787
176,A,770.136,757.105,45.6213017751
177,CL,771.992,770.136,45.7100591716
178,A,785.029,771.992,45.798816568
179,CO,786.68,785.029,45.8875739645
180,A,786.681,786.68,45.9763313609
181,CL,786.682,786.681,46.0650887574
182,A,786.798,786.682,46.1538461538
183,CO,786.801,786.798,46.2426035503
184,A,786.806,786.801,46.3313609467
185,CL,786.808,786.806,46.4201183432
186,A,786.812,786.808,46.5088757396
187,CO,786.821,786.812,46.5976331361
188,A,799.858,786.821,46.6863905325
189,CL,799.859,799.858,46.775147929
190,A,799.861,799.859,46.8639053254
191,CO,799.862,799.861,46.9526627219
192,A,799.863,799.862,47.0414201183
193,CL,801.717,799.863,47.1301775148
